city,county,state,n,lat,lon
Adelanto,San Bernardino,CA,2,34.6,-117.5
Agoura Hills,Los Angeles,CA,7,34.12,-118.77
Alameda,Alameda,CA,1,37.75,-122.25999999999999
Alamogordo,Otero,NM,1,32.8,-106.1
Albuquerque,Bernalillo,NM,1,35.10058823529412,-106.61882352941177
Alhambra,Los Angeles,CA,6,34.085,-118.13499999999999
Aliquippa,Beaver,PA,1,40.6,-80.3
Aliso Viejo,Orange,CA,4,33.56,-117.73
Altadena,Los Angeles,CA,1,34.22,-118.13
Amityville,Suffolk,NY,1,40.69,-73.41
Anaheim,Orange,CA,31,33.83571428571429,-117.88
Apache Junction,Maricopa,AZ,1,33.41,-111.53
Apple Valley,San Bernardino,CA,10,34.5,-117.1
Arcadia,Los Angeles,CA,1,34.13,-118.03999999999999
Atascadero,San Luis Obispo,CA,2,35.5,-120.7
Avalon,Los Angeles,CA,1,33.4,-118.5
Avon Lake,Lorain,OH,1,41.5,-82.02
Azusa,Los Angeles,CA,2,34.2,-117.8
Bakersfield,Kern,CA,2,35.341818181818184,-119.00999999999999
Barstow,San Bernardino,CA,1,35.0,-117.0
Baton Rouge,East Baton Rouge,LA,1,30.448947368421052,-91.106
Beaumont,Riverside,CA,1,33.9,-117.0
Beaverton,Washington,OR,1,45.4825,-122.835
Bell,Los Angeles,CA,8,33.9811953,-118.1966756
Bell Gardens,Los Angeles,CA,15,33.98,-118.17
Bellflower,Los Angeles,CA,19,33.89,-118.13
Beverly Hills,Los Angeles,CA,1,34.074999999999996,-118.40033333333334
Big Bear,San Bernardino,CA,2,34.2448679,-116.9376367
Bloomington,San Bernardino,CA,1,34.06,-117.39
Blythe,Riverside,CA,1,33.8,-115.1
Brea,Orange,CA,2,33.93,-117.85499999999999
Brooklyn,Kings,NY,2,40.652972972972975,-73.95702702702702
Brownsville,Cameron,TX,1,25.993333333333336,-97.42
Buena Park,Orange,CA,2,33.86,-118.0
Burbank,Los Angeles,CA,6,34.188,-118.322
Byron,Contra Costa,CA,1,37.84,-121.62
California City,Kern,CA,1,35.1,-117.9
Camarillo,Ventura,CA,3,34.215,-119.03
Canoga Park,Los Angeles,CA,1,34.215,-118.615
Canton,Cherokee,GA,1,34.25,-84.45
Canton,Wayne,MI,1,42.31,-83.49
Canyon Country,Los Angeles,CA,1,34.42,-118.43
Carson,Los Angeles,CA,6,33.852,-118.25933333333334
Castro Valley,Alameda,CA,1,37.71,-122.03999999999999
Cathedral City,Riverside,CA,1,33.82,-116.47
Charlotte,Mecklenburg,NC,1,35.205925925925925,-80.82703703703703
Chatsworth,Los Angeles,CA,3,34.3,-118.6
Chicago,Cook,IL,2,41.86817857142857,-87.673625
Chico,Butte,CA,3,39.78,-121.81333333333333
Chino,San Bernardino,CA,4,33.980000000000004,-117.67500000000001
Chino Hills,San Bernardino,CA,1,33.95,-117.73
Chula Vista,San Diego,CA,4,32.628,-116.998
Cincinnati,Hamilton,OH,1,39.172,-84.48822222222222
Claremont,Los Angeles,CA,1,34.16,-117.71
Clarksville,Montgomery,TN,3,36.53333333333333,-87.33333333333333
Cleveland,Cuyahoga,OH,2,41.479827586206895,-81.65003448275863
Clovis,Fresno,CA,2,36.843333333333334,-119.66666666666667
Coachella,Riverside,CA,1,33.69,-116.15
Cocoa,Brevard,FL,1,28.416666666666668,-80.78666666666668
Cohoes,Albany,NY,1,42.79,-73.72
Colton,San Bernardino,CA,2,34.03,-117.28
Compton,Los Angeles,CA,17,33.88666666666666,-118.22666666666667
Concord,Contra Costa,CA,1,37.965,-122.005
Corning,Tehama,CA,1,39.9,-122.3
Corona,Riverside,CA,6,33.846,-117.554
Coronado,San Diego,CA,2,32.65,-117.17
Costa Mesa,Orange,CA,17,33.665,-117.91
Crestline,San Bernardino,CA,1,34.24,-117.27
Culver City,Los Angeles,CA,5,34.010000000000005,-118.39500000000001
Cypress,Orange,CA,1,33.82,-118.04
Dallas,Dallas,TX,2,32.809626,-96.80035400000001
Daly City,San Mateo,CA,1,37.685,-122.46000000000001
Dana Point,Orange,CA,1,33.48,-117.71
Davis,Yolo,CA,1,38.58,-121.75999999999999
Daytona Beach,Volusia,FL,1,29.189999999999998,-81.05799999999999
Decatur,Dekalb,GA,1,33.751999999999995,-84.26
Delano,Kern,CA,1,35.8,-119.1
Denton,Denton,TX,1,33.199999999999996,-97.12666666666667
Desert Hot,Riverside,CA,1,33.961776,-116.6153409
Diamond Bar,Los Angeles,CA,2,33.99,-117.82
Discovery Bay,Contra Costa,CA,1,37.88,-121.59
Dothan,Houston,AL,1,31.213333333333335,-85.43666666666667
Downey,Los Angeles,CA,26,33.94,-118.13
Durant,Bryan,OK,1,34.0,-96.4
El Cajon,San Diego,CA,3,32.803333333333335,-116.90666666666668
El Monte,Los Angeles,CA,7,34.075,-118.03
El Segundo,Los Angeles,CA,4,33.92,-118.4
Elk Grove,Sacramento,CA,1,38.39,-121.39
Encino,Los Angeles,CA,1,34.155,-118.5
Fallbrook,San Diego,CA,1,33.4,-117.3
Flint,Genesee,MI,1,43.022000000000006,-83.736
Florence,Rankin,MS,2,32.1,-90.1
Folsom,Sacramento,CA,1,38.67,-121.15
Fontana,San Bernardino,CA,8,34.096666666666664,-117.46333333333332
Foothill Ranch,Orange,CA,1,33.69,-117.66
Fort Walton,Okaloosa,FL,1,30.4365363,-86.6623618
Fort Worth,Denton,TX,6,32.75246875,-97.33165625
Fremont,Alameda,CA,1,37.5375,-121.99
Fresno,Fresno,CA,4,36.775555555555556,-119.7961111111111
Fullerton,Orange,CA,7,33.8825,-117.9225
Garden Grove,Orange,CA,7,33.774,-117.968
Gardena,Los Angeles,CA,11,33.88666666666666,-118.30333333333333
Gilbert,Maricopa,AZ,1,33.31333333333333,-111.75166666666667
Gilroy,Santa Clara,CA,1,37.0,-121.5
Glendale,Los Angeles,CA,10,34.15833333333333,-118.25422222222223
Glendale,Maricopa,AZ,1,33.586666666666666,-112.20777777777778
Glendora,Los Angeles,CA,2,34.14,-117.845
Goshen,Elkhart,IN,1,41.6,-85.85
Grand Prairie,Dallas,TX,1,32.69,-97.00999999999999
Grand Terrace,San Bernardino,CA,2,34.03,-117.31
Greenwood,Greenwood,SC,2,34.150000000000006,-82.1
Gresham,Multnomah,OR,1,45.504999999999995,-122.415
Guerneville,Sonoma,CA,1,38.52,-122.99
Hacienda Heights,Los Angeles,CA,2,34.0,-117.98
Hanford,Kings,CA,1,36.3,-119.6
Harbor City,Los Angeles,CA,3,33.8,-118.3
Hawaiian Gardens,Los Angeles,CA,2,33.83,-118.07
Hawthorne,Los Angeles,CA,34,33.91,-118.35
Hayward,Alameda,CA,3,37.6475,-122.08250000000001
Hemet,Riverside,CA,4,33.68333333333334,-116.94333333333333
Henderson,Clark,NV,1,35.9875,-115.035
Hephzibah,Richmond,GA,1,33.3,-82.1
Hesperia,San Bernardino,CA,5,34.394999999999996,-117.35499999999999
Highland,San Bernardino,CA,1,34.15,-117.15
Honolulu,Honolulu,HI,2,21.309583333333332,-157.82483333333332
Hopkinsville,Christian,KY,1,36.9,-87.5
Houston,Harris,TX,9,29.775376288659793,-95.41505979381444
Huntington Beach,Orange,CA,16,33.6975,-118.0075
Huntington Park,Los Angeles,CA,8,33.98,-118.21
Imperial Beach,San Diego,CA,1,32.57,-117.12
Independence,Jackson,MO,1,39.10125,-94.38875
Indianapolis,Marion,IN,1,39.807567567567574,-86.1391891891892
Indio,Riverside,CA,2,33.7,-116.215
Inglewood,Los Angeles,CA,21,33.952,-118.346
Irvine,Orange,CA,3,33.68111111111111,-117.79666666666668
Jacksonville,Cherokee,TX,1,31.9,-95.2
Juneau,Juneau,AK,1,58.0,-134.0
Kent,King,WA,2,47.385,-122.1925
La Habra,Orange,CA,6,33.94,-117.95
La Quinta,Riverside,CA,1,33.67,-116.28
La Verne,Los Angeles,CA,2,34.15,-117.73
Laguna Beach,Orange,CA,4,33.55,-117.78
Laguna Hills,Orange,CA,1,33.59,-117.71
Lake Elsinore,Riverside,CA,1,33.655,-117.355
Lake Forest,Orange,CA,4,33.65,-117.68
Lakeside,San Diego,CA,2,32.9,-116.9
Lakewood,Los Angeles,CA,4,33.843333333333334,-118.11333333333334
Lamont,Kern,CA,1,35.26,-118.91
Lancaster,Los Angeles,CA,3,34.7,-118.2
Las Vegas,Clark,NV,6,36.14676744186046,-115.21472093023256
Lawndale,Los Angeles,CA,5,33.89,-118.35
Lawrenceville,Gwinnett,GA,1,33.9525,-84.0
Lemon Grove,San Diego,CA,2,32.73,-117.04
Lemoore,Kings,CA,1,36.3,-119.8
Livermore,Alameda,CA,1,37.599999999999994,-121.65
Lomita,Los Angeles,CA,1,33.79,-118.32
Lompoc,Santa Barbara,CA,1,34.67,-120.48
Long Beach,Los Angeles,CA,309,33.79207692307693,-118.17323076923077
Longview,Cowlitz,WA,1,46.2,-123.1
Los Alamitos,Orange,CA,7,33.8,-118.06
Los Angeles,Los Angeles,CA,147,34.042307692307695,-118.30316923076923
Lynwood,Los Angeles,CA,16,33.93,-118.2
Madera,Madera,CA,1,36.96666666666667,-120.03333333333335
Malibu,Los Angeles,CA,2,34.0685,-118.753
Manhattan Beach,Los Angeles,CA,1,33.89,-118.4
Manteca,San Joaquin,CA,1,37.760000000000005,-121.2
Marina,Monterey,CA,1,36.68,-121.79
Marina Del,Los Angeles,CA,1,33.9753578,-118.4653792
Marysville,Snohomish,WA,1,48.08,-122.18
Maywood,Los Angeles,CA,4,33.99,-118.19
Medford,Jackson,OR,1,42.3,-122.85
Memphis,Shelby,TN,2,35.12351785714286,-89.95382500000001
Mesa,Maricopa,AZ,4,33.419230769230765,-111.71615384615384
Metairie,Jefferson,LA,1,30.0,-90.16999999999999
Miami,Miami-dade,FL,2,25.761160714285715,-80.29657142857143
Midway City,Orange,CA,2,33.745,-117.983
Minneapolis,Hennepin,MN,1,44.98286274509803,-93.30709803921569
Mission Hills,Los Angeles,CA,1,34.27,-118.46
Mission Viejo,Orange,CA,1,33.605000000000004,-117.66
Mobile,Mobile,AL,1,30.683121052631577,-88.12353157894736
Modesto,Stanislaus,CA,2,37.65857142857143,-120.98857142857142
Mojave,Kern,CA,1,35.2,-118.1
Monroe,Union,NC,1,35.0,-80.5
Montclair,San Bernardino,CA,1,34.07,-117.7
Montebello,Los Angeles,CA,2,34.01,-118.11
Monterey Park,Los Angeles,CA,3,34.05,-118.13
Moorpark,Ventura,CA,2,34.3,-118.8
Moreno Valley,Riverside,CA,7,33.917500000000004,-117.2075
Murfreesboro,Rutherford,TN,1,35.844,-86.4
Murrieta,Riverside,CA,3,33.545,-117.215
Myrtle Beach,Horry,SC,1,33.716,-78.914
Napa,Napa,CA,1,38.35,-122.3
National City,San Diego,CA,6,32.67,-117.09
Natrona Heights,Allegheny,PA,1,40.64,-79.73
Needles,San Bernardino,CA,2,34.7,-114.6
New York,Kings,NY,1,40.76829710144927,-73.97460869565217
Newark,Alameda,CA,1,37.52,-122.05
Newark,Essex,NJ,1,40.73444444444445,-74.18666666666667
Newbury Park,Ventura,CA,1,34.19,-118.94
Newport Beach,Orange,CA,5,33.616749999999996,-117.90075
North Hills,Los Angeles,CA,2,34.24,-118.48
North Hollywood,Los Angeles,CA,6,34.18,-118.38250000000001
Northridge,Los Angeles,CA,1,34.23766666666666,-118.53233333333333
Norwalk,Los Angeles,CA,11,33.91,-118.08
Oak Ridge,Anderson,TN,1,36.0,-84.3
Oakland,Alameda,CA,7,37.791942857142864,-122.21967857142856
Oceanside,San Diego,CA,1,33.2275,-117.325
Oklahoma City,Oklahoma,OK,2,35.47046511627907,-97.51860465116279
Ontario,San Bernardino,CA,2,34.04666666666667,-117.60333333333334
Orange,Orange,CA,14,33.804,-117.83
Orangevale,Sacramento,CA,1,38.68,-121.23
Oxnard,Ventura,CA,4,34.0475,-119.23
Paducah,Mccracken,KY,1,37.05,-88.6
Palm Desert,Riverside,CA,3,33.745000000000005,-116.37
Palm Springs,Riverside,CA,4,33.78,-116.53999999999999
Palmdale,Los Angeles,CA,2,34.55,-118.025
Panama City,Bay,FL,2,30.17,-85.64999999999999
Panorama City,Los Angeles,CA,2,34.23,-118.44
Paramount,Los Angeles,CA,4,33.9,-118.17
Pasadena,Los Angeles,CA,6,34.16166666666667,-118.11833333333334
Paso Robles,San Luis Obispo,CA,2,35.6,-120.9
Pearland,Brazoria,TX,1,29.549999999999997,-95.315
Perris,Riverside,CA,2,33.82,-117.245
Petaluma,Sonoma,CA,1,38.2,-122.69999999999999
Phelan,San Bernardino,CA,1,34.4,-117.6
Phoenix,Maricopa,AZ,4,33.526666666666664,-112.08261904761905
Pico Rivera,Los Angeles,CA,1,33.99,-118.08
Pittsburg,Contra Costa,CA,1,38.0,-121.9
Placentia,Orange,CA,4,33.88,-117.85
Pleasanton,Alameda,CA,1,37.675,-121.88
Pomona,Los Angeles,CA,10,34.07,-117.74666666666667
Portland,Multnomah,OR,3,45.517941176470586,-122.65955882352942
Rancho Palos,Los Angeles,CA,1,33.7587324,-118.3948652
Redlands,San Bernardino,CA,7,34.03,-117.14
Redondo Beach,Los Angeles,CA,1,33.849999999999994,-118.38
Redwood City,San Mateo,CA,1,37.4725,-122.245
Rialto,San Bernardino,CA,1,34.129999999999995,-117.39
Richmond,Contra Costa,CA,1,37.92825,-122.33025
Riverside,Riverside,CA,31,33.94,-117.39625
Rodeo,Contra Costa,CA,1,38.03,-122.23
Rosamond,Kern,CA,1,34.9,-118.3
Round Rock,Williamson,TX,1,30.52333333333333,-97.67
Saco,York,ME,1,43.5,-70.5
Sacramento,Sacramento,CA,2,38.57142857142857,-121.44214285714285
Saint Marys,Elk,PA,1,41.5,-78.5
Salinas,Monterey,CA,4,36.69199999999999,-121.64000000000001
San Angelo,Tom Green,TX,2,31.4675,-100.4575
San Antonio,Bexar,TX,5,29.470516666666665,-98.51445
San Bernardino,San Bernardino,CA,14,34.13428571428572,-117.28142857142858
San Bruno,San Mateo,CA,2,37.62,-122.44
San Carlos,San Mateo,CA,1,37.5,-122.27
San Clemente,Orange,CA,1,33.379999999999995,-117.56
San Diego,San Diego,CA,19,32.788624324324324,-117.14145405405405
San Fernando,Los Angeles,CA,3,34.29,-118.44
San Francisco,San Francisco,CA,16,37.765035714285716,-122.43525
San Gabriel,Los Angeles,CA,1,34.105000000000004,-118.095
San Jacinto,Riverside,CA,1,33.805,-116.985
San Jose,Santa Clara,CA,1,37.30907142857143,-121.86039285714286
San Juan,Orange,CA,3,33.5064051,-117.683808
San Luis,San Luis Obispo,CA,1,35.2725611,-120.7054057
San Marcos,Caldwell,TX,3,29.9,-98.0
San Pablo,Contra Costa,CA,2,37.98,-122.33
San Pedro,Los Angeles,CA,13,33.74,-118.29499999999999
Santa Ana,Orange,CA,42,33.74,-117.87333333333333
Santa Barbara,Santa Barbara,CA,6,34.45,-119.72571428571428
Santa Clara,Santa Clara,CA,2,37.36225,-121.957
Santa Clarita,Los Angeles,CA,1,34.475,-118.45500000000001
Santa Cruz,Santa Cruz,CA,1,36.9975,-122.0325
Santa Fe,Los Angeles,CA,2,33.9290576,-118.1337209
Santa Maria,Santa Barbara,CA,1,34.88666666666666,-120.3
Santa Monica,Los Angeles,CA,9,34.024,-118.48599999999999
Santa Paula,Ventura,CA,1,34.4,-119.1
Scotts Valley,Santa Cruz,CA,1,37.07,-122.01
Seattle,King,WA,1,47.59236842105263,-122.33
Sherman Oaks,Los Angeles,CA,2,34.15,-118.445
Sierra Madre,Los Angeles,CA,2,34.17,-118.05
Signal Hill,Los Angeles,CA,3,33.8,-118.17
Simi Valley,Ventura,CA,2,34.28,-118.74000000000001
Sioux City,Woodbury,IA,1,42.52,-96.3875
Soledad,Monterey,CA,1,36.4,-121.3
South Gate,Los Angeles,CA,8,33.94,-118.19
South Pasadena,Los Angeles,CA,2,34.11,-118.16
Spanaway,Pierce,WA,1,47.1,-122.4
Spring Valley,San Diego,CA,4,32.72,-116.965
Stafford Springs,Tolland,CT,1,42.0,-72.3
Stamford,Fairfield,CT,1,41.08566666666667,-73.53466666666667
Stanton,Orange,CA,3,33.79,-118.0
Stockton,San Joaquin,CA,2,37.99008333333333,-121.29991666666666
Studio City,Los Angeles,CA,1,34.14,-118.39
Sun Valley,Los Angeles,CA,2,34.24,-118.34
Sunnyvale,Santa Clara,CA,1,37.3775,-122.0175
Sunset Beach,Orange,CA,1,33.7161,-118.0687
Sylmar,Los Angeles,CA,1,34.3,-118.4
Tacoma,Pierce,WA,1,47.21661904761905,-122.45342857142857
Tehachapi,Kern,CA,3,35.1,-118.4
Temecula,Riverside,CA,1,33.50666666666667,-117.11
Tempe,Maricopa,AZ,1,33.385,-111.9325
Temple City,Los Angeles,CA,2,34.1,-118.05
The Dalles,Wasco,OR,1,45.6,-121.2
Thousand Oaks,Ventura,CA,4,34.205,-118.85
Titusville,Brevard,FL,1,28.57,-80.87
Topeka,Shawnee,KS,1,39.04127777777778,-95.70455555555556
Torrance,Los Angeles,CA,15,33.844166666666666,-118.32683333333334
Trabuco Canyon,Orange,CA,1,33.615,-117.525
Troup,Cherokee,TX,1,32.1,-95.1
Tucson,Pima,AZ,6,32.24,-110.972
Tujunga,Los Angeles,CA,1,34.3,-118.2
Tustin,Orange,CA,3,33.735,-117.81
Tyler,Smith,TX,1,32.345555555555556,-95.27888888888889
Upland,San Bernardino,CA,3,34.135000000000005,-117.655
Vacaville,Solano,CA,2,38.4,-121.95
Vallejo,Solano,CA,1,38.115,-122.2425
Valley Village,Los Angeles,CA,2,34.16,-118.4
Van Nuys,Los Angeles,CA,7,34.19,-118.4575
Ventura,Ventura,CA,3,34.28666666666667,-119.21999999999998
Vestal,Broome,NY,1,42.06,-76.03
Victorville,San Bernardino,CA,13,34.53333333333333,-117.33333333333333
Visalia,Tulare,CA,1,36.36666666666667,-119.32
Walnut,Los Angeles,CA,1,34.02,-117.85
Washington,District Of Columbia,DC,2,38.90894230769231,-77.02788461538461
Watsonville,Santa Cruz,CA,1,36.9,-121.7
Waynesboro,Waynesboro City,VA,1,38.1,-78.9
West Covina,Los Angeles,CA,2,34.050000000000004,-117.91000000000001
West Hollywood,Los Angeles,CA,2,34.09,-118.38
West Sacramento,Yolo,CA,1,38.595,-121.57
Westminster,Adams,CO,1,39.855000000000004,-105.035
Westminster,Orange,CA,3,33.75,-117.99
Whitethorn,Humboldt,CA,1,40.1,-124.0
Whittier,Los Angeles,CA,30,33.964999999999996,-118.02499999999999
Wildomar,Riverside,CA,1,33.62,-117.26
Wilmington,Los Angeles,CA,6,33.78,-118.26
Winter Haven,Polk,FL,1,28.006666666666664,-81.72333333333334
Yakima,Yakima,WA,1,46.6,-120.6325
Yorba Linda,Orange,CA,1,33.9,-117.765
Yucca Valley,San Bernardino,CA,6,34.2,-116.5
